line_id,sector_id,weight,x,y
1,0-1,15.597,0,0
1,0-1,14.658,0,0
1,1-2,16.050,0,1
1,1-2,13.870,0,1
1,2-3,14.694,0,2
1,2-3,14.163,0,2
1,2-3,8.106,0,2
1,3-4,15.542,0,3
1,3-4,15.393,0,3
1,3-4,6.759,0,3
1,4-5,15.071,0,4
1,4-5,13.451,0,4
1,5-6,14.671,0,5
1,5-6,15.017,0,5
1,5-6,5.461,0,5
1,6-7,15.201,0,6
1,6-7,14.591,0,6
1,6-7,5.252,0,6
1,7-8,14.263,0,7
1,7-8,14.929,0,7
1,7-8,2.992,0,7
1,8-9,14.101,0,8
1,8-9,13.839,0,8
1,9-10,15.560,0,9
1,9-10,12.645,0,9
2,31-32,11.326,1,9
2,31-32,13.010,1,9
2,30-31,3.425,1,8
2,30-31,13.394,1,8
2,30-31,14.186,1,8
2,29-30,14.569,1,7
2,29-30,13.660,1,7
2,28-29,2.786,1,6
2,28-29,13.471,1,6
2,28-29,12.890,1,6
2,27-28,2.120,1,5
2,27-28,13.526,1,5
2,27-28,12.990,1,5
2,26-27,10.737,1,4
2,26-27,13.636,1,4
2,25-26,10.537,1,3
2,25-26,13.681,1,3
2,24-25,14.176,1,2
2,24-25,14.267,1,2
2,23-24,11.990,1,1
2,23-24,14.140,1,1
2,22-23,15.624,1,0
2,22-23,14.471,1,0
3,102-103,14.823,2,9
3,102-103,8.540,2,9
3,101-102,15.412,2,8
3,101-102,12.652,2,8
3,100-101,13.464,2,7
3,100-101,12.810,2,7
3,50-100,15.236,2,6
3,50-100,10.415,2,6
3,49-50,15.070,2,5
3,49-50,11.391,2,5
3,48-49,17.753,2,4
3,47-48,15.743,2,3
3,47-48,7.211,2,3
3,46-47,15.354,2,2
3,46-47,9.260,2,2
3,45-46,16.509,2,1
3,45-46,5.096,2,1
3,44-45,16.097,2,0
3,44-45,7.442,2,0
4,124-125,13.572,3,9
4,124-125,14.757,3,9
4,123-124,14.036,3,8
4,123-124,8.602,3,8
4,122-123,13.149,3,7
4,122-123,9.257,3,7
4,121-122,12.762,3,6
4,121-122,12.677,3,6
4,120-121,13.512,3,5
4,120-121,13.770,3,5
4,119-120,12.573,3,4
4,119-120,12.394,3,4
4,118-119,14.864,3,3
4,118-119,13.885,3,3
